attr,meanImp,medianImp,minImp,maxImp,normHits,decision
price_log,107.9992072,108.3865468,101.8699443,116.3937009,1,Confirmed
manager_good,79.65556231,79.54542348,74.77844962,82.27840645,1,Confirmed
hide,69.26549511,69.34982425,65.04029518,73.86497295,1,Confirmed
bedrooms,68.69886032,68.77282465,65.38455727,72.8474982,1,Confirmed
positive,57.58641106,57.62651745,52.69549106,62.46128797,1,Confirmed
wood,56.23031674,56.35451623,52.75477483,58.78738573,1,Confirmed
ordered_kmclusters,52.55768241,52.54576157,47.58713372,55.86623854,1,Confirmed
laundry,49.65300915,49.75049302,46.24383823,55.35930386,1,Confirmed
building_good,42.19475094,41.90727088,38.88937376,46.44310249,1,Confirmed
anticipation,40.09564676,40.02429091,37.28078391,43.04817454,1,Confirmed
joy,39.74907625,39.80242985,36.37245372,42.84758041,1,Confirmed
trust,39.51414509,39.37943561,35.24672714,43.26175711,1,Confirmed
bathrooms,38.24138821,38.17322565,35.52055439,42.55521369,1,Confirmed
negative,34.29694574,34.38003137,31.15336074,38.53971812,1,Confirmed
Bath.5,33.50893431,33.22295974,29.9896281,36.26976786,1,Confirmed
anger,32.71140587,33.11668463,30.08888465,35.04812158,1,Confirmed
manager_bad,30.86268128,30.56822478,28.88256203,34.48043013,1,Confirmed
elevator,30.68451339,30.43303804,27.95292182,32.67034067,1,Confirmed
surprise,28.83221158,28.91908301,26.21618183,32.13269797,1,Confirmed
Street,26.39652168,26.34804967,23.48361736,29.27254911,1,Confirmed
sadness,25.87593713,26.0470016,22.53684865,27.7700331,1,Confirmed
disgust,23.14555991,23.23658711,21.01840626,26.10621821,1,Confirmed
Avenue,22.32077338,22.46361669,18.74467786,25.34452158,1,Confirmed
listing_bad,22.02738513,21.98224165,20.51542451,23.97415779,1,Confirmed
fear,20.3264216,20.17189704,18.10715045,24.50539775,1,Confirmed
building_bad,7.734159746,7.662213876,5.943674028,9.714719902,1,Confirmed
outdoor,3.37346818,3.411961082,1.516930918,5.19268695,0.837209302,Confirmed
doorman,3.101891031,2.965086561,1.18817923,5.352191385,0.76744186,Confirmed
fitness,0.64055349,0.685234931,-0.780415321,1.857122568,0,Rejected
nofee,0,0,0,0,0,Rejected
kmtop,-0.793530675,-0.814367366,-1.643748606,0.380682364,0,Rejected
allowed,-2.984966485,-3.285166813,-3.984386092,-0.448820603,0,Rejected
