bathrooms,bedrooms,building_good,manager_good,manager_bad,listing_bad,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,Avenue,Street,wood,laundry,elevator,Bath.5,hide,price_log,ordered_kmclusters
1.0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,5,0,1,1,1,0,0,0,7.78322401633604,27
1.0,0,0,0,0,0,0,2,0,1,2,0,1,1,2,6,0,1,1,1,0,0,0,7.707512194600341,27
1.0,1,0,0,0,0,0,3,0,0,3,1,1,3,0,7,0,1,1,1,0,0,0,7.9355873855892005,23
1.0,1,0,0,0,0,1,3,0,0,3,0,1,2,1,7,1,0,1,1,0,0,0,7.967280178942199,30
1.0,0,0,0,0,0,0,3,0,0,4,0,2,3,0,7,0,1,1,1,0,0,0,7.861341795599991,18
2.0,2,0,0,0,0,0,2,0,0,3,0,1,1,0,14,0,1,0,1,0,0,0,8.365206834418364,23
1.0,1,0,0,0,0,1,5,1,0,5,2,3,4,2,9,0,1,0,0,0,0,0,7.598399329323961,17
1.0,0,0,0,0,0,0,3,0,0,5,0,1,3,1,11,0,1,1,1,0,0,0,7.681099001536361,21
1.0,2,0,0,0,0,2,3,1,0,3,1,1,1,3,10,1,0,1,1,0,0,0,7.9373746961633005,17
1.0,0,0,0,0,0,1,2,0,0,3,0,1,2,1,13,0,1,0,0,0,0,0,7.882314918980269,17
1.0,1,0,0,0,0,0,5,0,0,8,2,3,5,1,14,0,1,1,1,0,0,0,8.063062911326792,18
1.0,0,0,0,0,0,3,6,1,0,5,1,2,4,2,13,0,1,1,1,0,0,0,7.822044008185619,20
1.0,2,0,0,0,0,0,1,0,1,2,0,1,1,1,8,0,1,0,0,0,0,0,8.48673398393153,21
1.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,6,0,1,0,0,0,0,0,8.00636756765025,29
2.0,3,0,0,0,0,1,3,1,0,3,0,2,3,1,7,0,1,0,0,0,0,0,8.7787879291047,29
1.0,1,0,0,0,0,1,5,1,0,5,1,3,5,1,9,0,1,0,0,0,0,0,7.623153068476898,21
1.0,0,0,0,0,0,1,6,1,1,6,1,4,6,2,10,0,1,0,0,0,0,1,7.6916568228105495,26
1.0,1,0,0,0,0,0,2,0,1,2,0,2,1,1,7,0,1,0,0,0,0,0,8.13153071060425,21
1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,1,0,0,0,0,1,7.8917046593301095,25
1.0,1,0,0,0,0,1,6,1,1,6,1,4,6,2,10,0,1,0,0,0,0,1,8.13153071060425,26
1.0,1,0,0,0,0,0,3,0,0,3,0,2,2,1,4,0,1,0,0,0,0,1,7.677863500678209,19
1.0,0,0,0,0,0,1,1,0,1,2,0,0,1,3,3,1,0,0,0,0,0,1,8.00636756765025,29
4.0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,1,1,1,0,0,0,9.210340371976178,23
1.0,2,0,0,0,0,0,0,0,2,0,1,0,1,3,5,0,1,0,0,0,0,0,8.174702882469461,29
1.0,2,0,0,0,0,1,2,1,2,2,1,1,3,1,4,0,0,0,0,0,0,0,7.78322401633604,29
1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,7.522940918072369,5
1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,7.861341795599991,24
1.0,1,0,0,0,0,0,8,1,3,5,3,4,4,1,15,1,0,0,0,0,0,0,8.06746266701006,5
1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,8.18729927015515,22
1.0,1,0,0,0,0,2,1,2,1,4,0,1,4,3,13,1,0,0,0,0,0,0,7.738488122494651,9
2.0,4,0,0,0,0,0,1,0,0,1,0,0,3,1,5,0,1,0,0,0,0,0,8.202482446576541,9
1.0,1,0,0,0,0,1,1,0,0,1,0,1,2,1,3,0,1,0,0,0,0,0,7.762170607138199,19
1.0,2,0,0,0,0,0,1,0,0,1,0,2,1,1,4,1,0,0,0,0,0,1,8.502079553606192,12
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,8.202482446576541,22
1.0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,7,0,1,0,0,0,0,0,7.87283617502572,20
1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,8.491875383431948,22
1.0,1,0,0,0,0,0,4,0,0,5,0,2,5,0,10,0,1,0,0,0,0,0,7.824046010856288,21
1.0,1,0,0,0,0,0,4,0,0,5,0,2,5,0,10,0,1,0,0,0,0,0,7.824046010856288,21
1.0,2,0,0,0,0,0,4,0,0,5,0,2,5,0,10,0,1,0,0,0,0,0,8.07090608878782,21
1.0,2,0,0,0,0,0,4,0,0,5,0,2,5,0,10,0,1,0,0,0,0,0,8.11671562481911,21
2.0,3,0,0,0,0,0,4,0,0,5,0,2,5,0,10,0,1,0,0,0,0,0,8.732304571033179,29
1.0,3,0,0,0,0,0,4,0,0,5,0,2,5,0,9,0,1,0,0,0,0,0,8.255828427281829,20
1.0,2,0,0,0,0,0,5,0,0,5,0,2,6,0,11,0,1,0,0,0,0,0,8.24275634571448,23
1.0,1,0,0,0,0,1,3,0,1,2,1,1,2,1,8,0,1,1,1,0,0,0,7.9355873855892005,19
1.0,0,0,0,0,0,0,4,0,0,5,0,2,5,0,10,0,1,0,0,0,0,0,7.740664401917241,17
1.0,1,0,0,0,0,0,4,0,0,5,0,2,5,0,10,0,1,0,0,0,0,0,7.919356190660622,17
1.0,2,0,0,0,0,0,4,0,0,5,0,2,5,0,10,0,1,0,1,0,0,0,8.37793112408273,25
2.0,3,0,0,0,0,0,4,0,0,5,0,2,5,0,10,0,1,0,0,0,0,0,8.53699581871242,17
1.0,0,0,0,0,0,0,4,0,0,5,0,2,5,0,10,0,1,0,0,0,0,0,8.11671562481911,21
2.0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,1,0,0,0,8.29404964010203,3
1.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7.9355873855892005,3
1.0,2,0,0,0,0,0,3,0,1,3,0,1,5,0,9,0,1,0,0,1,0,0,8.1886891244442,21
1.0,2,0,0,0,0,1,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,7.78322401633604,6
1.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,1,0,0,7.4673710669175595,3
3.0,5,0,0,0,0,0,3,0,1,2,0,1,4,0,9,0,1,0,0,1,0,0,8.987196820661971,21
1.0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,1,0,0,8.004699510549552,3
1.0,3,0,0,0,0,0,1,0,1,2,0,0,4,0,6,0,1,0,0,0,0,0,7.9373746961633005,6
1.0,2,0,0,0,0,0,3,0,1,2,0,1,4,0,8,0,1,0,0,1,0,0,8.1886891244442,21
1.0,1,0,0,0,0,0,4,0,0,4,3,2,3,2,10,0,0,1,1,0,0,0,7.438383530044311,1
1.0,1,0,0,0,0,1,3,0,0,3,0,0,2,3,12,1,0,1,0,0,0,0,7.536363938404511,3
1.0,2,0,0,0,0,1,6,0,0,5,1,3,7,3,15,1,0,1,1,0,0,0,7.673223121121711,3
1.0,1,0,0,0,0,1,6,0,0,3,2,2,4,2,10,0,1,0,0,0,0,0,7.15070145759253,2
1.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,7.824046010856288,27
1.0,1,0,0,0,0,1,1,1,0,3,0,0,0,1,5,0,1,0,1,0,0,0,7.4673710669175595,2
2.0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0,0,7.919356190660622,2
1.0,2,0,0,0,0,1,1,1,0,1,1,1,1,1,4,0,1,1,1,0,0,0,8.100161446936609,19
1.0,1,0,0,0,0,1,2,1,0,1,1,1,2,0,5,0,1,1,1,0,0,0,7.824046010856288,22
1.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,1,1,0,0,0,7.989560449333871,30
1.0,2,0,0,0,0,0,2,0,0,3,0,2,1,0,3,0,1,0,0,0,0,0,8.29279885820037,25
1.0,2,0,0,0,0,0,2,0,0,2,0,2,2,1,5,0,1,0,1,0,0,0,8.255828427281829,25
1.0,2,0,0,0,0,1,2,1,0,1,1,1,2,0,5,0,1,1,0,0,0,0,8.159088654667913,25
1.0,1,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,8.24143968982973,17
1.0,2,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,8.00636756765025,19
1.0,2,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,1,1,0,0,0,7.824046010856288,17
1.0,2,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,1,0,0,0,0,8.101677747454566,30
1.0,1,0,0,1,0,0,3,1,0,0,0,0,1,1,3,1,0,1,0,0,0,0,7.78322401633604,17
2.0,2,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,8.731497794063241,29
1.0,3,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,0,1,0,0,0,8.29404964010203,23
1.0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,3,1,0,1,1,0,0,0,7.495541943884261,17
1.0,1,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,1,0,0,0,0,7.899153483343102,19
2.0,3,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,8.18729927015515,13
1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.13153071060425,22
1.0,1,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,1,1,0,0,0,8.1300590399928,19
1.0,2,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,0,1,0,0,0,0,7.729735331385049,3
1.0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,7.649692623711511,25
1.0,3,0,0,1,0,0,3,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,8.28778002708843,18
1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.7873820264847,23
